Date Created,Number of Likes,Source of Tweet,Tweet,Year
2023-02-27,41226,Twitter for iPhone,is there any other way to be   ,2023
2023-01-06,19243,Twitter Web App,I prefer screams of agony   ,2023
2023-01-06,133634,Twitter Media Studio,More torture is coming  Lucky you   ,2023
2023-01-06,123,Twitter for iPhone,    Indeed,2023
2023-01-03,16836,Twitter Web App,Your daughters are correct  As the saying goes  you re never fully dressed with a smile   ,2023
2022-12-07,25527,Twitter Web App,   ,2022
2022-12-04,8616,Twitter for iPhone,  I started this account because Thing told me twitter was the most effective place to feel pain and suffering  He was right ,2022
2022-12-04,6977,Twitter for iPhone,Coincidentally  bend and snap is also the most efficient way to pillory your enemies      ,2022
2022-12-04,21783,Twitter Media Studio,Eugene is looking for new recruits to join the Hummers  RT if you re interested   ,2022
2022-12-03,18857,Twitter Media Studio,I love to start my weekends with a good blood bath   ,2022
2022-12-02,23900,Twitter Web App,All of the attention this week has been exhausting  Luckily  Thing gives a killer neck massage ,2022
2022-12-01,11643,Twitter Web App,I ll send you my snood  Don t tell Enid   ,2022
2022-12-01,0,Twitter Web App,RT    Slay Wednesday    You re welcome at Haus of Gaga anytime  and bring Thing with you  we love paws around here   ,2022
2022-12-01,55009,Twitter Web App,I see you doing my dance moves to   s Bloody Mary  I understand she is followed by little monsters  I approve ,2022
2022-11-30,15611,Twitter Web App,These New Yorkers act like they ve never seen a disembodied hand before   ,2022
2022-11-30,13422,Twitter Web App,When life hands you lemons  squeeze their juice into the eyes of your enemies   WednesdayWisdom,2022
2022-11-29,56824,Twitter Web App,Apparently you all have watched 341 2 million hours of my show in 1 week   a Netflix record  Did your eyeballs bleed  A girl can dream ,2022
2022-11-29,8239,Twitter Web App,I would feel gratitude but I m dead inside   ,2022
2022-11-29,16098,Twitter Web App,When given the opportunity  always glare uncomfortably   ,2022
2022-11-28,40018,Twitter Web App,When you discover there s a blonde in the Addams  family tree   ,2022
2022-11-27,54240,TweetDeck Web App,All of the attention this weekend has been pure torture  Thank you ,2022
2022-11-27,42406,TweetDeck Web App,My mother has no heart  But enough with the sappy compliments   ,2022
2022-11-26,10611,TweetDeck Web App,FYI  If you hear me screaming bloody murder  there s a good chance I m just enjoying myself ,2022
2022-11-26,13337,TweetDeck Web App,Some girls develop obsessions with horses  Or boy bands  Mine just happen to be supernatural killing sprees ,2022
2022-11-26,16248,Twitter Media Studio,You know what s scarier than monsters  Feelings   ,2022
2022-11-25,30792,TweetDeck Web App,I know I m stubborn  single minded  and obsessive  But those are all traits of great writers  Yes  and serial killers ,2022
2022-11-25,10570,Twitter Web App,Thing s hat collection is surprisingly large   ,2022
2022-11-25,11003,Twitter Media Studio,For once  I agree with Bianca Barclay   ,2022
2022-11-25,157763,Twitter Media Studio,Dancing is one of my favorite things to do  Along with gravedigging  conducting autopsies  and glaring uncomfortabl   ,2022
2022-11-24,41825,TweetDeck Web App,As much as it pains me to admit  Enid Sinclair is growing on me  Like a flesh eating fungus   ,2022
2022-11-24,7356,Twitter Media Studio,Does family time nauseate you as well   ,2022
2022-11-24,8738,TweetDeck Web App,In the Addams house  we don t believe in Thanksgiving traditions  We do  however  believe in sharp knives  carving   ,2022
2022-11-23,8476,Twitter Media Studio,Getting ready for the Thanksgiving Day Parade   ,2022
