Date Created,Number of Likes,Source of Tweet,Tweet,Year
2023-02-27 03:01:37+00:00,41226,Twitter for iPhone,is there any other way to be? https://t.co/P0ntNjem8g,2023
2023-01-06 23:48:42+00:00,19243,Twitter Web App,I prefer screams of agony. https://t.co/UDwZskDOmX,2023
2023-01-06 17:00:31+00:00,133634,Twitter Media Studio,More torture is coming. Lucky you. https://t.co/t11LptFk7e,2023
2023-01-06 03:53:50+00:00,123,Twitter for iPhone,@SMediaProd01 @netflix Indeed,2023
2023-01-03 19:45:48+00:00,16836,Twitter Web App,"Your daughters are correct. As the saying goes, you’re never fully dressed with a smile. https://t.co/z371tFLNNc",2023
2022-12-07 21:58:14+00:00,25527,Twitter Web App,https://t.co/0t5UQJlj1w https://t.co/b2mwPWPG8e,2022
2022-12-04 22:22:43+00:00,8616,Twitter for iPhone,@xnanailyana I started this account because Thing told me twitter was the most effective place to feel pain and suffering. He was right.,2022
2022-12-04 20:29:06+00:00,6977,Twitter for iPhone,"Coincidentally, bend and snap is also the most efficient way to pillory your enemies. @ReeseW… https://t.co/SIiT5M1kvb",2022
2022-12-04 18:00:00+00:00,21783,Twitter Media Studio,Eugene is looking for new recruits to join the Hummers. RT if you're interested. https://t.co/IOx10B6br2,2022
2022-12-03 18:00:01+00:00,18857,Twitter Media Studio,I love to start my weekends with a good blood bath. https://t.co/5FG8mDc5hQ,2022
2022-12-02 20:44:48+00:00,23900,Twitter Web App,"All of the attention this week has been exhausting. Luckily, Thing gives a killer neck massage.",2022
2022-12-01 23:15:34+00:00,11643,Twitter Web App,I'll send you my snood. Don't tell Enid. https://t.co/lO1JhyfP1Y,2022
2022-12-01 21:15:37+00:00,0,Twitter Web App,"RT @ladygaga: Slay Wednesday! 💋 You’re welcome at Haus of Gaga anytime (and bring Thing with you, we love paws around here 😉)",2022
2022-12-01 17:31:37+00:00,55009,Twitter Web App,I see you doing my dance moves to @LadyGaga’s Bloody Mary. I understand she is followed by little monsters. I approve.,2022
2022-11-30 23:48:49+00:00,15611,Twitter Web App,These New Yorkers act like they’ve never seen a disembodied hand before. https://t.co/LXeSjU6dGZ,2022
2022-11-30 22:57:09+00:00,13422,Twitter Web App,"When life hands you lemons, squeeze their juice into the eyes of your enemies. #WednesdayWisdom",2022
2022-11-29 20:05:07+00:00,56824,Twitter Web App,Apparently you all have watched 341.2 million hours of my show in 1 week - a Netflix record. Did your eyeballs bleed? A girl can dream.,2022
2022-11-29 04:01:51+00:00,8239,Twitter Web App,I would feel gratitude but I’m dead inside. https://t.co/vBRKozKPJL,2022
2022-11-29 01:21:12+00:00,16098,Twitter Web App,"When given the opportunity, always glare uncomfortably. https://t.co/bohgkP8A3f",2022
2022-11-28 23:45:40+00:00,40018,Twitter Web App,When you discover there's a blonde in the Addams' family tree. https://t.co/K2n5cU2grB,2022
2022-11-27 22:00:01+00:00,54240,TweetDeck Web App,All of the attention this weekend has been pure torture. Thank you.,2022
2022-11-27 20:00:01+00:00,42406,TweetDeck Web App,My mother has no heart. But enough with the sappy compliments. https://t.co/IqpVw5Wlv8,2022
2022-11-26 22:00:00+00:00,10611,TweetDeck Web App,"FYI. If you hear me screaming bloody murder, there's a good chance I'm just enjoying myself.",2022
2022-11-26 20:00:00+00:00,13337,TweetDeck Web App,Some girls develop obsessions with horses. Or boy bands. Mine just happen to be supernatural killing sprees.,2022
2022-11-26 17:00:00+00:00,16248,Twitter Media Studio,You know what's scarier than monsters? Feelings. https://t.co/GJyx8AIxbi,2022
2022-11-25 22:00:01+00:00,30792,TweetDeck Web App,"I know I’m stubborn, single-minded, and obsessive. But those are all traits of great writers. Yes, and serial killers.",2022
2022-11-25 21:12:38+00:00,10570,Twitter Web App,Thing’s hat collection is surprisingly large. https://t.co/7BqjBY5BS0,2022
2022-11-25 20:00:00+00:00,11003,Twitter Media Studio,"For once, I agree with Bianca Barclay. https://t.co/2kKL81OZHP",2022
2022-11-25 17:00:02+00:00,157763,Twitter Media Studio,"Dancing is one of my favorite things to do. Along with gravedigging, conducting autopsies, and glaring uncomfortabl… https://t.co/QcsViURb5y",2022
2022-11-24 22:00:00+00:00,41825,TweetDeck Web App,"As much as it pains me to admit, Enid Sinclair is growing on me. Like a flesh-eating fungus. https://t.co/64709zFwoM",2022
2022-11-24 20:00:00+00:00,7356,Twitter Media Studio,Does family time nauseate you as well? https://t.co/frOh3udZe3,2022
2022-11-24 17:00:00+00:00,8738,TweetDeck Web App,"In the Addams house, we don't believe in Thanksgiving traditions. We do, however, believe in sharp knives, carving… https://t.co/BH69GwzgyY",2022
2022-11-23 22:00:02+00:00,8476,Twitter Media Studio,Getting ready for the Thanksgiving Day Parade. https://t.co/lVZDbgDjoH,2022
2022-11-23 20:15:04+00:00,2862,Twitter Web App,Impossible. https://t.co/C2O3E9SxE9,2022
2022-11-23 20:00:02+00:00,9021,Twitter Media Studio,"Enid, I made you these. https://t.co/rGNFjxVkBt",2022
2022-11-23 17:00:02+00:00,11572,TweetDeck Web App,RT if you're a little dead inside too.,2022
2022-11-23 03:38:51+00:00,0,Twitter Web App,RT @netflix: How many hours until Wednesday premieres? https://t.co/dWwthm2oIL,2022
2022-11-22 20:33:15+00:00,4192,Twitter Web App,Making your holiday travels even more torturous. You’re welcome. https://t.co/jQLHX1RzDr,2022
2022-11-22 17:42:57+00:00,1070,Twitter Web App,"Careful with that. Or Lurch will hunt you down. He’s a man of few grunts, but this hearse is close to his cold, dea… https://t.co/1qHS9JRVoC",2022
2022-11-22 17:42:22+00:00,2058,Twitter Web App,My holiday playlist is titled Pugsley’s Greatest Screams. https://t.co/aNtQ25JckW,2022
2022-11-22 17:41:17+00:00,2568,Twitter Web App,They work quite well on Pugsley. https://t.co/obcreb8zHu,2022
2022-11-14 20:02:22+00:00,3708,Twitter Web App,"By the way, I heard that elevator make a weird noise earlier. I’m sure it’s fine. https://t.co/bt5Fzcr1Px",2022
2022-11-09 18:00:00+00:00,7081,Twitter Media Studio,They haven’t built a school that can hold me. I doubt Nevermore will be any different. https://t.co/bsVIb8REd3,2022
2022-11-01 17:38:45+00:00,1742,Twitter Web App,Impressive. Looks a lot like Pugsley after a few hours in the pig roaster. https://t.co/0nMZTPM7np,2022
2022-11-01 16:57:12+00:00,4298,Twitter Media Studio,Halloween is over but spooky season never ends. https://t.co/5W9amaEg1z,2022
2022-10-09 00:05:00+00:00,21969,Twitter Media Studio,This *festering* new trailer is full of surprises. I know the suspense is killing you. https://t.co/JmCVMBaDHP,2022
2022-10-07 16:10:00+00:00,781,Twitter for iPhone,@netflix can’t keep your mouth shut? I’ve sent Thing to fetch the needle and thread. https://t.co/AOtcm0Om50,2022
2022-10-03 19:37:30+00:00,976,Twitter Web App,Unrelenting teenage purgatory awaits. https://t.co/2ICvmw5KIq,2022
2022-10-03 18:28:42+00:00,1353,Twitter Web App,I'm waiting on the edge of my (electric) chair. https://t.co/djT7oFxIM1,2022
2022-09-24 17:29:00+00:00,13081,Twitter Media Studio,"Oh, Thing... you poor, naive apendage. #TUDUM https://t.co/kldxKyqziT",2022
2022-09-23 20:29:52+00:00,1983,Twitter Web App,Hasn't Thanksgiving always been about murder &amp; mayhem? https://t.co/G6kKVefqgp,2022
2022-09-23 00:07:24+00:00,1044,Twitter Web App,The poor souls who are accepted will receive a special surprise. Like the time I sent my Uncle Fester a box of hung… https://t.co/pbdFS2aS1N,2022
2022-09-22 23:33:33+00:00,2233,Twitter Web App,I'm sitting in this right now. But mine is black. (Thing carved it as a gift). https://t.co/ajGOlci9J6,2022
2022-09-21 17:59:04+00:00,661,Twitter Web App,Good luck navigating this teenage purgatory. You're going to need it. https://t.co/KgsH1keJWz,2022
2022-09-21 17:24:52+00:00,4442,Twitter Web App,"I've seen serial killer diaries with better grammar. It's ""Addams"" - two Ds. https://t.co/LgEdz29Tk7",2022
2022-09-21 16:40:14+00:00,2607,Twitter Media Studio,"Show some school spirit. A dark, vengeful spirit. https://t.co/geD72VI4Fr https://t.co/5L5yMqOIyU",2022
2022-09-19 19:02:29+00:00,1435,Twitter Web App,This soothes me. https://t.co/NN6wFBYsuy,2022
2022-09-16 17:00:59+00:00,1167,Twitter Web App,Wouldn't be caught dead here if my death depended on it. https://t.co/nCOr4Ou3ck,2022
2022-09-13 03:10:20+00:00,940,Twitter Web App,I don't respond to demands. I do enjoy a bit of blackmail from time to time though. #Emmys https://t.co/rtrxuRJJmM,2022
2022-09-13 02:53:17+00:00,1140,Twitter Web App,To Mr. @TedLasso on your big night. Your sunny disposition and relentless optimism are truly… disturbing. Odds are… https://t.co/O4clteLmHm,2022
2022-09-13 02:18:50+00:00,709,Twitter Web App,A dead body on stage at the #Emmys. Things just got interesting. @JimmyKimmel https://t.co/8n3n9wR40p,2022
2022-09-13 02:07:33+00:00,5090,Twitter Web App,I applaud @Stranger_Things for giving us the Upside Down. It seems like a beautiful and tranquil place. I’d like to… https://t.co/kWZPej8YSr,2022
2022-09-13 01:35:27+00:00,505,Twitter Web App,To the Roy family on @succession. I applaud your efforts to torture each other verbally. But it’s time to up your g… https://t.co/K8bzazejfc,2022
